Author,Collaboration Count,Publication Count,Tenure of Research,Degree Centrality,Cluster,Label,Predicted Label
Murat Ceylan,3.0,1.0,0.0,0.011111111111111112,1.0,ECR,ECR
Yüksel Özbay,3.0,1.0,0.0,0.011111111111111112,1.0,ECR,ECR
Sadık Kara,3.0,1.0,3.0,0.011111111111111112,1.0,ECR,ECR
Scott Rosenberg,0.0,1.0,0.0,0.0,0.0,ECR,ECR
Robert France,1.0,1.0,0.0,0.003663003663003663,0.0,ECR,ECR
Bernhard Rumpe,1.0,1.0,0.0,0.003663003663003663,0.0,ECR,ECR
Weigen Yan,2.0,1.0,0.0,0.007246376811594203,2.0,ECR,ECR
Yeong-Nan Yeh,2.0,1.0,0.0,0.007246376811594203,2.0,ECR,ECR
Fuji Zhang,2.0,1.0,0.0,0.007246376811594203,2.0,ECR,ECR
Lori M. Kaufman,0.0,1.0,0.0,0.0,0.0,ECR,ECR
Ravi Ramamoorthi,3.0,1.0,0.0,0.010676156583629894,2.0,ECR,ECR
Adam Rifkin,3.0,1.0,0.0,0.010676156583629894,2.0,ECR,ECR
Boris Dimitrov,3.0,1.0,0.0,0.010676156583629894,2.0,ECR,ECR
K. Mani Chandy,3.0,1.0,0.0,0.010676156583629894,2.0,ECR,ECR
Jongwoo Jun,2.0,1.0,0.0,0.007042253521126761,2.0,ECR,ECR
Jinyi Lee,2.0,1.0,0.0,0.007042253521126761,2.0,ECR,ECR
Jaesun Lee,2.0,1.0,0.0,0.007042253521126761,2.0,ECR,ECR
Panos M. Pardalos,7.0,1.0,0.0,0.023972602739726026,1.0,ECR,ECR
 Wanpracha Chaovalitwongse,7.0,1.0,0.0,0.023972602739726026,1.0,ECR,ECR
Leonidas D. Iasemidis,7.0,1.0,0.0,0.023972602739726026,1.0,ECR,ECR
J. Chris Sackellares,7.0,1.0,0.0,0.023972602739726026,1.0,ECR,ECR
Deng-Shan Shiau,7.0,1.0,0.0,0.023972602739726026,1.0,ECR,ECR
Paul R. Carney,7.0,1.0,0.0,0.023972602739726026,1.0,ECR,ECR
Oleg A. Prokopyev,7.0,1.0,0.0,0.023972602739726026,1.0,ECR,ECR
Vitaliy A. Yatsenko,7.0,1.0,0.0,0.023972602739726026,1.0,ECR,ECR
Siegfried Handschuh,1.0,1.0,0.0,0.003401360544217687,0.0,ECR,ECR
Steffen Staab,1.0,1.0,0.0,0.003401360544217687,0.0,ECR,ECR
David Baum,0.0,1.0,0.0,0.0,0.0,ECR,ECR
Volker Diekert,0.0,1.0,0.0,0.0,0.0,ECR,ECR
Boyang Li,1.0,1.0,0.0,0.003355704697986577,0.0,ECR,ECR
Mark O. Riedl,1.0,1.0,0.0,0.003355704697986577,0.0,ECR,ECR
Shiwei Zhao,3.0,1.0,0.0,0.009933774834437087,2.0,ECR,ECR
Li Zhuo,3.0,1.0,0.0,0.009933774834437087,2.0,ECR,ECR
Zhu Xiao,3.0,1.0,0.0,0.009933774834437087,2.0,ECR,ECR
Lansun Shen,3.0,1.0,0.0,0.009933774834437087,2.0,ECR,ECR
Marius Bozga,3.0,1.0,0.0,0.00980392156862745,2.0,ECR,ECR
Oded Maler,3.0,1.0,0.0,0.00980392156862745,2.0,ECR,ECR
Amir Pnueli,3.0,1.0,0.0,0.00980392156862745,2.0,ECR,ECR
Sergio Yovine,3.0,1.0,0.0,0.00980392156862745,2.0,ECR,ECR
Ou Yang Hai-bin,2.0,1.0,0.0,0.006472491909385114,2.0,ECR,ECR
Li Ruo-ping,2.0,1.0,0.0,0.006472491909385114,2.0,ECR,ECR
Gao Li-qun,2.0,1.0,0.0,0.006472491909385114,2.0,ECR,ECR
Kent S. Belasco,0.0,1.0,0.0,0.0,0.0,ECR,ECR
Enrique Gerstl,1.0,1.0,0.0,0.003205128205128205,0.0,ECR,ECR
Gur Mosheiov,1.0,1.0,0.0,0.003205128205128205,0.0,ECR,ECR
Michael V. Mannino,2.0,1.0,0.0,0.006349206349206349,2.0,ECR,ECR
In Jun Choi,2.0,1.0,0.0,0.006349206349206349,2.0,ECR,ECR
Don S. Batory,2.0,1.0,0.0,0.006349206349206349,2.0,ECR,ECR
Seung Hak Kuk,3.0,1.0,0.0,0.009404388714733543,2.0,ECR,ECR
Hyeon Soo Kim,3.0,1.0,0.0,0.009404388714733543,2.0,ECR,ECR
Jai-Kyung Lee,3.0,1.0,0.0,0.009404388714733543,2.0,ECR,ECR
Seong-Whan Park,3.0,1.0,0.0,0.009404388714733543,2.0,ECR,ECR
Yinyu Ye,0.0,1.0,0.0,0.0,0.0,ECR,ECR
Pao-Ann Hsiung,7.0,1.0,0.0,0.021341463414634148,1.0,ECR,ECR
Shang-Wei Lin,7.0,1.0,0.0,0.021341463414634148,1.0,ECR,ECR
Yean-Ru Chen,7.0,1.0,0.0,0.021341463414634148,1.0,ECR,ECR
Chun-Hsian Huang,7.0,1.0,0.0,0.021341463414634148,1.0,ECR,ECR
Jia-Jen Yeh,7.0,1.0,0.0,0.021341463414634148,1.0,ECR,ECR
Hong-Yu Sun,7.0,1.0,0.0,0.021341463414634148,1.0,ECR,ECR
